,artno,country,url,headline,risk_scale,risk2,risk_explicit,risk_consensus,risk_precision,cancer_type,researchrelated
,44,australia,https://www.abc.net.au/news/2018-12-20/france-recalls-breast-implants-after-implant-files-investigation/10635050,Breast implants recalled in Europe still available to Australian women,9,8,breast implants,textured breast implants,,general,0
,45,australia,https://www.9news.com.au/national/breast-implants-tga-proposes-ban-on-textured-products-linked-to-alcl-cancer-news-australia/8e66aad9-fdbe-43ea-b763-47a84fc94195,Breast implants linked to rare cancer facing Aussie ban,9,8,breast implants,textured breast implants,,general,0
,46,australia,https://www.theage.com.au/national/queensland/breastfeeding-found-to-reduce-uterine-cancer-risk-20170531-gwgtfr.html,Breastfeeding found to reduce uterine cancer risk,2,2,breastfeeding,breastfeeding,,uterine cancer,1
,47,australia,https://www.abc.net.au/radionational/programs/healthreport/breastfeeding-reduces-cancer-risk/8630730,Breastfeeding reduces cancer risk,2,2,breastfeeding,breastfeeding,,general,1
,48,australia,https://www.abc.net.au/news/2018-03-16/burnt_toast_cancer_myth/9548502,Burnt toast not linked to cancer,5,5,burnt toast,burning or grilling food,,general,0
,49,australia,https://www.businessinsider.com.au/coffee-health-benefits-fda-cancer-warning-is-not-scientific-2018-9,"California's warnings that coffee is linked to cancer are misleading, according to the FDA. Here’s what we know about the health benefits of coffee.",5,5,coffee,coffee,,general,0
,51,australia,https://coach.nine.com.au/health-issues/barbecue-grilling-cancer-risk/b6f70fd7-a97e-4c08-afdd-24e13ab9ea74,Can grilling cause cancer? What the science says,7,6,grilling,burning or grilling food,,general,1
,52,australia,https://coach.nine.com.au/health-issues/can-talcum-powder-cause-cancer-science/8c5484a3-f79f-418f-86d4-2ffb9fffd647,"Can talcum powder cause cancer? US jury says yes, but science begs to differ",7,6,talcum powder,J&J's baby powder,,general,0
,54,australia,https://www.news.com.au/lifestyle/health/report-reveals-that-the-increasing-exposure-to-technology-is-linked-to-12-deadly-cancers/news-story/adb900e5a4f19d2b87eed29c298ca895,Child screen time now linked to 12 deadly cancers,10,9,child screen time,inactivity,,general,1
,55,australia,https://www.sbs.com.au/language/english/audio/cancer-is-linked-to-unexpressed-emotions-studies-say,"Cancer is linked to unexpressed emotions, Studies Say",9,8,unexpressed emotions,unexpressed emotions,,general,1
,56,australia,https://finance.nine.com.au/business-news/common-weed-killer-increases-cancer-risk-by-41percent-study-says/8d2666a3-db19-4290-9663-c8056f84c848,The common weed killer increasing cancer risk,9,8,common weed killer,glyphosate from RoundUp,,general,1
,58,australia,https://www.9news.com.au/national/news-health-breast-implants-models-suspended-by-tga-cancer-concerns/966e90fa-e9a1-4c49-8503-9d559e7ed1ff,Breast implant crackdown over rare cancer link,9,8,breast implant,textured breast implants,,general,0
,60,australia,https://www.abc.net.au/7.30/cancer-risk-sees-growing-number-women-seeking-to/11454780,Cancer risk sees growing number women seeking to have breast implants removed,9,8,breast implants,textured breast implants,,general,0
,61,australia,https://www.smh.com.au/healthcare/cancer-risk-spikes-with-one-type-of-breast-implant--and-bacteria-are-to-blame-20170512-gw3bbe.html,Cancer risk spikes with one type of breast implant - and bacteria are to blame ,9,8,type of breast implant,textured breast implants,,general,0
,64,australia,https://www.smh.com.au/national/cancer-causing-infections-tumble-thanks-to-mass-vaccination-of-girls-20190625-p5214c.html,Cancer-causing infections tumble thanks to mass vaccination of girls,2,2,vaccinations,HPV vaccine,,general,1
,65,australia,https://www.news.com.au/lifestyle/parenting/kids/kids-raised-in-ultraclean-homes-face-greater-risk-of-leukemia-study/news-story/292b4d0413a23455a1b87c4b78ffbf2e,Clean homes ‘may cause cancer’,8,7,clean homes,lack of exposure to microbes,,general,1
,66,australia,https://www.abc.net.au/news/2017-04-04/ct-scan-exposure-increase-risk-of-cancer-for-kids-research-shows/8413478,"CT scan exposure increases risk of cancer for kids, new analysis shows",9,8,CT scan exposure,CT scan exposure,children,general,1
,67,australia,https://www.abc.net.au/news/2019-07-18/coffee-cancer-risk-qimr-research/11318984,"There's no link between drinking coffee and getting cancer, research finds",5,5,coffee,coffee,,general,1
,70,australia,https://www.sbs.com.au/news/common-reflux-drug-linked-to-cancer-risk,Common reflux drug linked to cancer risk,9,8,common reflux drug,acid reflux drugs,,general,1
,71,australia,https://7news.com.au/lifestyle/health-wellbeing/consuming-high-levels-of-dairy-linked-to-increased-risk-of-prostate-cancer-study-finds-c-516163,Dairy intake linked to increased risk of prostate cancer,9,8,dairy,dairy,,prostate cancer,1
,72,australia,https://www.news.com.au/finance/money/costs/monsanto-ordered-to-pay-2-billion-over-alleged-weed-killer-cancer-link/news-story/35d5d47ce834cb42a93ef41497d57aa9,Monsanto ordered to pay up over alleged weed killer cancer link,8,7,weed killer,glyphosate from Roundup,,general,0
,75,australia,https://www.sbs.com.au/topics/voices/health/article/2017/09/25/dense-breasts-risk-breast-cancer-most-women-are-dangerously-unaware,"Dense breasts at risk of breast cancer, but most women are dangerously unaware ",9,8,dense breasts,density of breast tissue,women,breast cancer,1
,76,australia,https://www.sbs.com.au/news/insight/do-cruciferous-vegetables-really-fight-cancer,Do cruciferous vegetables really fight cancer?,4,4,cruciferous vegetables,cruciferous vegetables,,general,0
,77,australia,https://www.businessinsider.com.au/breastfeeding-link-lower-breast-cancer-risk-mmoms-arent-told-2018-12,Doctors don't always tell mothers about the link between breastfeeding and lower breast cancer risk. Some say knowing would influence their decision,2,2,breastfeeding,breastfeeding,,breast cancer,1
,78,australia,https://www.businessinsider.com.au/does-cheese-cause-breast-cancer-fda-warning-labels-2019-10,"Doctors want a warning label on cheese because of a link to breast cancer, but the evidence is mixed",8,7,cheese,cheese,,breast cancer,0
,79,australia,https://coach.nine.com.au/diet/breast-cancer-risk-alcohol-consumption-women/91ce03b4-0aae-42ad-86ab-5cd35a0706f7,Many women don't understand how alcohol influences their breast cancer risk,9,8,alcohol,alcohol,women,breast cancer,1
,80,australia,https://www.smh.com.au/lifestyle/life-and-relationships/m28aboutlastnight-20180312-h0xcxn.html,Does unprotected oral sex put me at risk of throat cancer?,7,6,oral sex,oral sex,,throat cancer,1
,81,australia,https://www.sbs.com.au/news/donald-trump-says-windmill-noise-causes-cancer,Donald Trump says windmill noise causes cancer,9,8,windmill noise,noise from wind turbines,,general,0
,82,australia,https://www.businessinsider.com.au/bottle-of-wine-equal-to-10-cigarettes-for-cancer-risk-women-study-says-2019-3,Drinking one bottle of wine a week could increase a woman's risk of cancer as much as smoking 10 cigarettes,9,8,wine,alcohol,women,general,1
,82,australia,https://www.businessinsider.com.au/bottle-of-wine-equal-to-10-cigarettes-for-cancer-risk-women-study-says-2019-3,Drinking one bottle of wine a week could increase a woman's risk of cancer as much as smoking 10 cigarettes,9,8,smoking,smoking,women,general,1
,83,australia,https://www.businessinsider.com.au/hot-tea-could-double-risk-of-esophageal-cancer-2019-3,"Drinking piping hot tea could nearly double your risk of esophageal cancer, according to a new study",9,8,piping hot tea,hot drinks,,esophageal cancer,1
,84,australia,https://www.theage.com.au/lifestyle/health-and-wellness/drinking-soft-drink-linked-to-cancer-risk-20180222-h0wgvb.html,Drinking soft drink linked to cancer risk,9,8,soft drink,sugary and fruit drinks,,general,1
,86,australia,https://7news.com.au/news/health/e-cigs-do-not-help-reduce-cancer-who-c-369092,Study reveals E-cigarettes don't help reduce cancer,8,7,e-cigarettes,e-cigarettes and vaping,,general,1
,87,australia,https://www.9news.com.au/national/eating-chicken-cancer-link-oxford-university-uk-study-health-news-australia-world/6944a0bd-20dc-44b9-9063-16db54cd2f7c,Eating chicken linked to higher risk of cancer,9,8,eating chicken,chicken,,general,1
,88,australia,https://www.businessinsider.com.au/processed-meat-increases-cancer-risk-what-to-know-2018-12,Eating even a little bit of processed meat regularly can increase your risk of some deadly cancers,10,9,processed meat,red and processed meats, ,general,1
,89,australia,https://7news.com.au/news/health/eating-fish-cuts-bowel-cancer-risk-study-c-362952,Eating fish cuts bowel cancer risk: study,2,2,fish,fish,,bowel cancer,1
,90,australia,https://www.sbs.com.au/food/article/2018/11/02/eating-more-fibre-filled-foods-could-reduce-your-risk-ovarian-cancer-study,Eating more fibre-filled foods could reduce your risk of ovarian cancer: study ,3,3,fibre-filled foods,fibers,,ovarian cancer,1
,91,australia,https://7news.com.au/lifestyle/health-wellbeing/breast-implants-recalled-over-cancer-fear-c-474835,Breast implants recalled over cancer fears,9,8,breast implants,textured breast implants,,general,0
,95,australia,https://www.sbs.com.au/language/english/audio/exercising-has-long-term-benefits-and-could-prevent-cancer,Exercising has long term benefits and could prevent cancer,3,3,exercising,activity,,general,1
,97,australia,https://www.abc.net.au/news/rural/2019-10-10/farmer-sues-roundup-maker-monsanto/11589758,"First Australian farmer sues Monsanto, claiming Roundup caused his cancer",8,7,Roundup,glyphosate from RoundUp,a person,general,0
,98,australia,https://www.smh.com.au/national/first-cancer-lawsuit-over-weedkiller-roundup-filed-in-australia-20190603-p51u1a.html,First cancer lawsuit over weedkiller Roundup filed in Australia,8,7,weedkiller Roundup,glyphosate from Roundup,,general,0
,105,australia,https://7news.com.au/sunrise/on-the-show/gradual-weight-gain-in-20s-and-30s-increases-cancer-risk-c-494179,Gradual weight gain in 20s and 30s increases cancer risk,9,8,gradual weight gain in 20s and 30s,obesity,,general,1
,106,australia,https://www.abc.net.au/news/2017-09-26/have-you-got-dense-breasts-you-could-be-at-risk-of-cancer/8981614,Have you got dense breasts? You could be at risk of cancer,8,7,dense breasts,density of breast tissue,,general,1
,108,australia,https://www.businessinsider.com.au/does-roundup-cause-cancer-2018-10,Here's why it's very unlikely common weed killer sprays like Roundup cause cancer,5,5,weed killer sprays like Roundup,glyphosate from RoundUp,,general,0
,111,australia,https://www.abc.net.au/news/health/2019-08-30/menopause-hormone-replacement-therapy-breast-cancer-risk/11462878,"HRT breast cancer risk may persist for years, study finds",8,7,HRT,HRT and contraception drugs,,breast cancer,1
,112,australia,https://www.9news.com.au/health/hormone-therapy-used-to-treat-menopause-increases-risk-of-breast-cancer/d5f349e0-c751-4f8f-9da0-26d75cbe1466,"Risk of breast cancer increased by hormone therapy, study finds",9,8,hormone therapy,HRT and contraception drugs,,breast cancer,1
,113,australia,https://7news.com.au/news/health/hormones-may-lift-prostate-cancer-risk-c-535226,Hormones 'may lift prostate cancer risk',8,7,hormones,higher level of hormones,,prostate cancer,1
,114,australia,https://www.smh.com.au/healthcare/how-can-we-prevent-thousands-of-cancer-deaths-drink-less-20180713-p4zrd0.html,How can we prevent thousands of cancer deaths? Drink less,3,3,drink less,avoiding alcohol,,general,1
,115,australia,https://www.sbs.com.au/topics/voices/health/article/2017/03/20/how-obesity-causes-cancer-and-may-make-screening-and-treatment-harder,"How obesity causes cancer, and may make screening and treatment harder",9,8,obesity,obesity,,general,1
,116,australia,https://www.theage.com.au/national/queensland/hysterectomies-lower-chance-of-ovarian-cancer-queensland-study-finds-20190212-p50xcr.html,"Hysterectomies lower chance of ovarian cancer, Queensland study finds",2,2,hysterectomies,hysterectomy,,general,1
,117,australia,https://www.businessinsider.com.au/coffee-health-benefits-california-cancer-risk-2019-6,"In a major reversal, California says coffee 'does not pose a significant cancer risk' and may even help protect against some cancers",3,3,coffee,coffee,,general,0
,118,australia,https://www.smh.com.au/healthcare/increase-in-australian-cancer-cases-linked-to-breast-implants-20170420-gvol76.html,Increase in Australian cancer cases linked to breast implants,9,8,breast implants,textured breast implants,,general,0
,119,australia,https://www.sbs.com.au/news/increase-in-rare-cancer-linked-to-breast-implants,Increase in rare cancer linked to breast implants,9,8,breast implants,textured breast implants,,general,1
,120,australia,https://style.nine.com.au/latest/is-underwire-safe/065e8b35-2d54-4f14-96bb-b5554583ec83,Are wired bras safe to wear?,7,6,wired bras,wired bras,,general,0
,122,australia,https://www.businessinsider.com.au/does-baby-powder-cause-cancer-johnson-and-johnson-lawsuit-2018-7,Johnson & Johnson is being investigated by the SEC over fears its baby powder may cause cancer — here's how worried you should be,8,7,Johnson & Johson,J&J's baby powder,,general,0
,125,australia,https://www.theage.com.au/national/queensland/largest-ever-skin-cancer-study-looking-for-the-disease-s-genetic-cause-20190916-p52rx5.html,Largest ever skin cancer study looking for the disease's genetic cause,7,6,genetic,genetic variants and mutations,,skin cancer,1
,127,australia,https://www.sbs.com.au/news/local-councils-in-australia-review-use-of-weed-killer-linked-to-cancer,Local councils in Australia review use of weed killer linked to cancer,9,8,weed killer,glyphosate from Roundup,,general,0
,128,australia,https://www.businessinsider.com.au/low-fat-diets-risk-dying-of-breast-cancer-2019-5,Low-fat diets could lower the risk of dying of breast cancer. That may be bad news for keto fans,3,3,low-fat diets,low-fat diet,,breast cancer,1
,129,australia,https://7news.com.au/the-morning-show/macinley-butsons-smart-armour-protects-women-during-breast-cancer-treatment-c-140862,Aussie teen invents armour to protect cancer patients from radiation,2,2,armour,anti-radiation protection,,general,0
,130,australia,https://www.abc.net.au/news/2019-03-28/jury-says-bayer-must-pay-us-81-million-in-roundup-cancer-trial/10947442,Man awarded $114m in lawsuit over Roundup causing cancer,9,8,Roundup,glyphosate from RoundUp,a person,general,0
,132,australia,https://www.sbs.com.au/language/english/audio/may-traditional-herbal-medicine-cause-cancer-expert-calls-for-modernization,May traditional herbal medicine cause cancer? Expert calls for modernization,7,6,traditional herbal medicine,Aristolochia plants,,general,1
,135,australia,https://www.abc.net.au/radio/programs/pm/middle-age-women-ignoring-risk-between-alcohol-and-breast-cancer/10813442,Middle age women ignoring the risk between alcohol and breast cancer,9,8,alcohol,alcohol,women,breast cancer,1
,137,australia,https://www.sbs.com.au/news/moderate-amounts-of-red-meat-linked-to-bowel-cancer-experts-warn,"Moderate amounts' of red meat linked to bowel cancer, experts warn",9,8,red meat,red and processed meats,,bowel cancer,1
,138,australia,https://www.smh.com.au/healthcare/modern-cigarette-filters-increase-the-risk-of-lung-cancer-study-finds-20170525-gwcpbv.html,"Modern cigarette filters increase the risk of lung cancer, study finds",9,8,cigarette filters,filtered cigarettes,,lung cancer,1
,138,australia,https://www.smh.com.au/healthcare/modern-cigarette-filters-increase-the-risk-of-lung-cancer-study-finds-20170525-gwcpbv.html,"Modern cigarette filters increase the risk of lung cancer, study finds",9,8,cigarette filters,smoking,,lung cancer,1
,139,australia,https://www.sbs.com.au/news/monsanto-owner-says-glyphosate-is-safe-after-court-orders-290m-cancer-payout,Monsanto owner says glyphosate is 'safe' after court orders $290m cancer payout,5,5,Monsanto glyphosate,glyphosate from Roundup,,general,0
,140,australia,https://www.abc.net.au/news/2019-06-18/study-provides-clarity-over-gene-mutations-cancer-risk/11219208,Cancer risk or harmless?: Study provides clarity over gene variants,7,6,gene variants,genetic variants and mutations,,general,1
,141,australia,https://www.9news.com.au/national/antacid-medication-heartburn-and-cancer-link/feafcbd7-ad53-4965-aa93-e3113465634c,New research uncovers link between heartburn tablets and stomach cancer,9,8,heartburn tablets,PPI drugs,,stomach cancer,1
,143,australia,https://www.businessinsider.com.au/nuclear-explosion-fallout-cancer-health-effects-2017-8,Nuclear explosions from the past are still causing cancer and health problems today,9,8,nuclear explosions,radioactive pollution,,general,1
,144,australia,https://www.abc.net.au/radionational/programs/healthreport/omega-3-vitamin-d-supplements-dont-prevent-cancer-heart-disease/10488298,"Omega-3, vitamin D supplements don't prevent cancer, heart disease",4.5,,"omega-3, vitamin D supplements",supplements,,general,1
,145,australia,https://www.abc.net.au/news/2017-04-13/overweight-and-obese-children-at-greater-risk-of-health-problems/8439716,"Overweight kids 'at greater risk of getting asthma, cancer'",9,8,overweight,obesity,children,general,1
,146,australia,https://7news.com.au/news/health/popular-heartburn-medication-contains-chemical-linked-to-cancer-risk-according-to-tests-c-480078,Warning as popular heartburn medication found to contain chemical linked to cancer risk,9,8,popular heartburn medication,contaminated heart drugs,,general,0
,148,australia,https://www.sbs.com.au/food/article/2019/08/08/new-study-suggests-eating-poultry-may-help-reduce-your-risk-breast-cancer,A new study suggests eating poultry may help to reduce your risk of breast cancer ,3,3,poultry,poultry,,breast cancer,1
,149,australia,https://www.theage.com.au/national/powerful-devices-in-the-5g-era-do-mobile-phones-cause-cancer-20181214-p50mcr.html,Powerful devices in the 5G era: Do mobile phones cause cancer?,7,6,mobile phones,cellphones,,general,1
,150,australia,https://www.businessinsider.com.au/processed-food-makes-us-fat-leads-to-cancer-alternatives-2019-5,Processed foods make us fatter and are linked to a higher risk of cancer. Here’s what science suggests we should eat instead,9,8,processed foods,processed foods,,general,1
,151,australia,https://www.businessinsider.com.au/what-is-processed-food-2019-5,"Processed foods make us fatter, lead to cancer, and are linked with early death. But what exactly is a processed food?",9,8,processed foods,processed foods,,general,1
,154,australia,https://www.smh.com.au/healthcare/rare-cancer-risk-for-women-with-textured-or-smooth-breast-implants-20190212-p50xcn.html,Rare cancer risk for women with textured or smooth breast implants,9,8,textured or smooth breast implants,textured breast implants,women,general,0
,155,australia,https://honey.nine.com.au/latest/warning-over-rare-cancer-linked-to-breast-implants/489780b0-f44b-4224-ba46-7418ef585ee0,"Rare form of cancer on the rise, linked to popular breast implants",9,8,breast implants,textured breast implants,,general,0
,156,australia,https://www.abc.net.au/news/rural/2019-10-02/red-meat-and-sausages-may-not-cause-cancer-says-study/11567588,"Red meat and sausages may not cause cancer after all, report finds",5,5,red meat and sausages,red and processed meats,,general,1
,159,australia,https://www.abc.net.au/radionational/programs/sporty/reducing-your-cancer-risk-with-exercise/11164400,Reducing your cancer risk with exercise,2,2,exercise,activity,,general,1
,160,australia,https://www.abc.net.au/7.30/regulators-investigating-how-a-suspected-cancer/11605540,Regulators investigating how a suspected cancer-causing agent got into popular heartburn drug Zantac,8,7,Zantac,contaminated heart drugs,,general,0
,161,australia,https://www.smh.com.au/healthcare/report-slams-drinkwise-australia-for-misleading-public-on-alcohol-cancer-link-20170906-gybvuf.html,Report slams Drinkwise Australia for 'misleading' public on alcohol cancer link,9,8,alcohol,alcohol,,general,1
,162,australia,https://7news.com.au/sunrise/on-the-show/research-finds-genes-are-major-factor-in-skin-cancer-risk-c-567049,Research finds genes are major factor in skin cancer risk,10,9,genes,genetic variants and mutations,,skin cancer,1
,166,australia,https://www.news.com.au/lifestyle/health/health-problems/experts-in-the-uk-reveal-how-roast-potatoes-toast-and-hot-chips-might-lead-to-cancer/news-story/af3bce463486ef8fc523d987a3a212ef,"Experts reveal how roast potatoes, toast and hot chips can cause cancer",8,7,"roast potatoes, toast, hot chips",burning or grilling food,,general,0
,167,australia,https://www.smh.com.au/business/companies/judge-to-reduce-114-million-award-in-roundup-cancer-case-20190704-p523yn.html,Judge to reduce $114 million award in Roundup cancer case,9,8,Roundup,glyphosate from Roundup,,general,0
,168,australia,https://www.9news.com.au/national/roundup-cancer-claim-weedkiller-linked-to-serious-illness-some-australians-claim-a-current-affair/b167c348-d32d-4656-a54a-08af45cb6577,Cancer-struck Aussies claiming popular weed killer linked to illness,8,7,popular weed killer,glyphosate from RoundUp,a group,general,0
,169,australia,https://www.smh.com.au/national/sydney-councils-move-to-ban-roundup-weedkiller-over-cancer-fears-20190524-p51quo.html,Sydney councils move to ban Roundup weedkiller over cancer fears,9,8,Roundup weedkiller,glyphosate from Roundup,,general,0
,170,australia,https://www.abc.net.au/news/2019-03-20/roundup-again-linked-with-cancer-by-us-court/10920974,Roundup found to be 'substantial factor' in causing US man's cancer,10,9,Roundup,glyphosate from RoundUp,a person,general,0
,171,australia,https://www.businessinsider.com.au/san-francisco-shipyard-navy-cancer-risk-2018-10,"San Francisco's planned $8 billion neighbourhood has a radioactive past, and it may put people at a higher risk of cancer than experts thought",8,7,neighbourhood,radioactive pollution,,general,1
,172,australia,https://www.businessinsider.com.au/could-eating-organic-prevent-cancer-2018-10,"Scientists are learning that eating organic might be tied to a lower cancer risk, but there are some big caveats",3,3,eating organic,vegetables and fruits,,general,1
,173,australia,https://honey.nine.com.au/latest/scientists-link-broken-heart-syndrome-to-cancer/8f4381f7-d1aa-4821-8781-fbb4e0c61061,"Broken heart syndrome and cancer are connected, scientists say",9,8,broken heart syndrome,broken heart syndrome,,general,1
,174,australia,https://www.smh.com.au/healthcare/significant-jump-in-cancer-linked-to-breast-implants-as-ban-decision-looms-20190601-p51tg7.html,Cancer linked to breast implants has 'significant jump' as TGA decision looms,9,8,breast implants,textured breast implants,,general,0
,175,australia,https://www.businessinsider.com.au/how-intermittent-fasting-prevents-cancer-diabetes-2019-8,"Skipping a few meals with intermittent fasting may help people avoid cancer, diabetes, and heart disease",3,3,intermittent fasting,intermittent fasting,,general,1
,176,australia,https://www.abc.net.au/news/science/2017-08-24/smartphone-myths-facts-evidence-about-cancer-planes-and-petrol/8834112,"Smartphones linked to brain cancer? Not so, say experts",5,5,smartphones,cellphones,,brain cancer,1
,177,australia,https://www.abc.net.au/radionational/programs/breakfast/smoking-causes-pancreatic-cancer-researchers-say/10888126,"Smoking causes pancreatic cancer, researchers say",9,8,smoking,smoking,,pancreatic cancer,1
,181,australia,https://honey.nine.com.au/mums/breastfeeding-linked-to-lower-risk-of-uterine-cancer-endometrial-cancer/bf980b92-423c-4a43-ae85-78d218915c46,Study shows breastfeeding lessens chance of uterine cancer,2,2,breastfeeding,breastfeeding,,uterine cancer,1
,182,australia,https://www.smh.com.au/business/consumer-affairs/substantial-factor-us-jury-rules-against-bayer-in-roundup-cancer-case-20190320-p515o8.html,Substantial factor': US jury rules against Bayer in Roundup cancer case,10,9,Roundup,glyphosate from Roundup,,general,0
,184,australia,https://www.smh.com.au/lifestyle/health-and-wellness/one-cup-of-soft-drink-a-day-linked-to-18-per-cent-increased-cancer-risk-study-20190711-p5266d.html,One cup of soft drink a day linked to 18 per cent increased cancer risk: study,9,8,cup of soft drink,sugary and fruit drinks,,general,1
,186,australia,https://www.abc.net.au/news/science/2018-10-24/height-cancer-risk-tall-genetic-cells-carcinogensis/10404910,"Sorry tall people, your cancer risk is higher. Here's why",9,8,tall people,height,,general,1
,187,australia,https://www.news.com.au/lifestyle/health/tanning-addict-left-with-hole-in-head-after-using-sunbeds/news-story/ec04ab6af09f38e658bc2dc3666a3e98,Former cheerleader and tanning addict left with hole in head from sunbeds,9,8,sunbeds,indoor tanning,,general,0
,188,australia,https://www.news.com.au/lifestyle/health/health-problems/experts-warn-of-link-between-tattoos-and-cancer/news-story/209ce743af56d20915067bb78714f4b6,Can tattoos cause cancer?,7,6,tattoos,tattoos,,general,0
,189,australia,https://www.abc.net.au/radio/programs/am/tga-regulators-to-rule-on-breast-implant-linked-to-cancer/10980036,TGA regulators to rule on breast implant linked to cancer,9,8,breast implant,textured breast implants,,general,0
,190,australia,"https://www.abc.net.au/radionational/programs/scienceshow/the-cancer-causing-addiction,-fourth-in-line-after-caffeine,-al/11640664","The cancer-causing addictive drug, fourth in line after caffeine, alcohol and nicotine, gets no research",9,8,addictive drug,betel quid,,general,0
,191,australia,https://www.sbs.com.au/language/english/audio/the-risk-of-bowel-cancer-increases-with-age,The risk of bowel cancer increases with age,9,8,age,age,,bowel cancer,1
,192,australia,https://www.businessinsider.com.au/acrylamide-in-coffee-does-it-cause-cancer-2018-3,There's a chemical in coffee that may cause cancer -- here's how worried you should be,8,7,chemical in coffee,coffee,,general,0
,193,australia,https://www.businessinsider.com.au/cancer-risk-coffee-acrylamide-2019-2,"There's a chemical in coffee that may cause cancer, but researchers have found a way to reduce your risk",8,7,chemical in coffee,coffee,,general,0
,194,australia,https://www.businessinsider.com.au/do-airpods-cause-cancer-2019-3,"There's a rumour that AirPods and other wireless headphones cause cancer, but the truth is more complicated",7,6,AirPods,wireless headphones,,general,0
,195,australia,https://www.businessinsider.com.au/fish-oil-vitamin-d-supplements-reduce-cancer-heart-disease-risk-2019-9,"There’s evidence fish oil and vitamin D can reduce heart attack and cancer risk, but the supplements still may be useless for most people",3,3,fish oil,fish oil,,general,1
